2001-2005	Brazil	Baseline	Incidence	Rates
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	5.1877E-01	1.6735E-02	3.3469E-02	3.3469E-02	6.6938E-02	3.3469E-02	1.6735E-02	5.0204E-02	1.0041E-01	0.0000E+00	0.0000E+00	0.0000E+00	5.0204E-02	6.6938E-02	2.1922E+00	3.3469E+00	1.6735E-02	4.2652E+00	6.5098E+00
01-04__yrs	5.1877E-01	1.6735E-02	3.3469E-02	3.3469E-02	6.6938E-02	3.3469E-02	1.6735E-02	5.0204E-02	1.0041E-01	0.0000E+00	0.0000E+00	0.0000E+00	5.0204E-02	6.6938E-02	2.1922E+00	3.3469E+00	1.6735E-02	8.9750E+00	6.5098E+00
05-09__yrs	4.3197E-01	0.0000E+00	6.9115E-02	1.7279E-02	5.1836E-02	0.0000E+00	0.0000E+00	0.0000E+00	6.9115E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.7279E-02	7.6026E-01	3.3348E+00	1.0367E-01	5.8056E+00	3.8013E+00
10-14__yrs	6.4059E-01	0.0000E+00	3.2851E-02	8.2127E-02	0.0000E+00	3.2851E-02	1.6425E-02	1.6425E-02	6.5702E-02	0.0000E+00	0.0000E+00	0.0000E+00	4.9276E-02	6.5702E-02	3.2851E-01	2.4474E+00	1.4783E-01	4.1556E+00	4.8126E+00
15-19__yrs	8.4586E-01	1.4840E-02	1.6324E-01	1.6324E-01	7.4198E-02	1.1872E-01	0.0000E+00	4.4519E-02	1.3356E-01	0.0000E+00	0.0000E+00	0.0000E+00	1.4840E-02	1.4840E-01	8.9038E-02	2.1666E+00	5.3423E-01	4.0067E+00	8.2954E+00
20-24__yrs	1.4940E+00	6.0362E-02	5.7344E-01	5.5835E-01	4.5272E-01	2.2636E-01	4.5272E-02	1.0563E-01	3.6217E-01	0.0000E+00	0.0000E+00	0.0000E+00	9.0543E-02	1.3581E-01	2.8672E-01	2.5805E+00	1.0563E+00	3.1690E+00	1.2450E+01
25-29__yrs	1.3258E+00	3.0992E-01	1.2913E+00	1.2224E+00	1.0847E+00	2.2383E-01	6.8870E-02	2.0661E-01	7.2314E-01	0.0000E+00	0.0000E+00	0.0000E+00	6.8870E-02	4.1322E-01	5.3374E-01	3.1680E+00	1.7562E+00	3.4435E+00	1.8182E+01
30-34__yrs	2.2858E+00	4.8713E-01	2.4731E+00	2.2296E+00	1.9485E+00	2.8104E-01	1.3115E-01	5.2460E-01	1.5925E+00	0.0000E+00	0.0000E+00	0.0000E+00	3.1851E-01	4.3092E-01	9.1805E-01	4.6277E+00	2.6605E+00	3.2788E+00	2.5181E+01
35-39__yrs	6.1448E+00	1.5362E+00	5.0533E+00	4.1033E+00	3.3756E+00	5.0533E-01	4.2448E-01	1.0511E+00	3.2139E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.4351E+00	1.1522E+00	1.6979E+00	4.9522E+00	3.6384E+00	4.0629E+00	4.1356E+01
40-44__yrs	1.8524E+01	6.7402E+00	1.1737E+01	7.4944E+00	6.4810E+00	1.1548E+00	9.6626E-01	3.1580E+00	8.8377E+00	0.0000E+00	0.0000E+00	0.0000E+00	4.2657E+00	3.0166E+00	2.9930E+00	6.2218E+00	4.1243E+00	4.5721E+00	6.4786E+01
