2000-2005	SEER	Baseline	Incidence	Rates	Whites														
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.5252E+00	0.0000E+00	0.0000E+00	3.9100E-02	0.0000E+00	0.0000E+00	0.0000E+00	7.8200E-02	7.8200E-02	1.9163E+00	3.9108E+00	0.0000E+00	5.0840E+00	1.2397E+01
01-04__yrs	6.0300E-02	0.0000E+00	0.0000E+00	1.0000E-02	1.0000E-02	5.8250E-01	1.0000E-02	0.0000E+00	7.0300E-02	0.0000E+00	0.0000E+00	0.0000E+00	6.0300E-02	6.0300E-02	1.8981E+00	4.5193E+00	1.0000E-02	1.0736E+01	4.5896E+00
05-09__yrs	1.0250E-01	0.0000E+00	7.9000E-03	7.9000E-03	0.0000E+00	1.2620E-01	7.9000E-03	7.9000E-03	1.5800E-02	0.0000E+00	0.0000E+00	0.0000E+00	1.5800E-02	3.1600E-02	4.4170E-01	3.5416E+00	7.8900E-02	4.5749E+00	2.0193E+00
10-14__yrs	1.6020E-01	0.0000E+00	7.6000E-03	5.3400E-02	7.6000E-03	8.3900E-02	0.0000E+00	7.6000E-03	3.8100E-02	0.0000E+00	0.0000E+00	0.0000E+00	7.6000E-03	4.5800E-02	1.2970E-01	3.0889E+00	1.8300E-01	3.4321E+00	3.8745E+00
15-19__yrs	4.1220E-01	0.0000E+00	2.3800E-02	1.7440E-01	9.5100E-02	1.1100E-01	7.9000E-03	6.3400E-02	1.3480E-01	0.0000E+00	0.0000E+00	0.0000E+00	5.5500E-02	1.1890E-01	1.3480E-01	2.4493E+00	6.8960E-01	4.0822E+00	1.0424E+01
20-24__yrs	5.6740E-01	3.1500E-02	1.5760E-01	5.1220E-01	2.6010E-01	2.1280E-01	0.0000E+00	4.7300E-02	3.0730E-01	7.9000E-03	0.0000E+00	0.0000E+00	1.5800E-02	3.0730E-01	2.3640E-01	2.6400E+00	1.1979E+00	2.9710E+00	1.8378E+01
25-29__yrs	9.3520E-01	8.1300E-02	5.3670E-01	1.2524E+00	7.8070E-01	1.3010E-01	1.0570E-01	1.4640E-01	5.6930E-01	1.6300E-02	0.0000E+00	0.0000E+00	4.0700E-02	6.0180E-01	7.9700E-01	3.3912E+00	2.4397E+00	2.7406E+00	2.5503E+01
30-34__yrs	1.6185E+00	2.7350E-01	1.0258E+00	2.5834E+00	1.7248E+00	3.0390E-01	9.1200E-02	3.7230E-01	1.0562E+00	7.6000E-02	0.0000E+00	0.0000E+00	5.3200E-02	1.3069E+00	1.8084E+00	4.1031E+00	3.4800E+00	3.3661E+00	3.0766E+01
35-39__yrs	3.3476E+00	6.8110E-01	1.7173E+00	4.7025E+00	4.2606E+00	6.5210E-01	3.1160E-01	1.0362E+00	3.2969E+00	1.2320E-01	0.0000E+00	0.0000E+00	6.8110E-01	2.4853E+00	4.2026E+00	4.6373E+00	5.3474E+00	3.8910E+00	3.5650E+01
