Survival Functions Representative for Brazil
"Source: Instituto Brasileiro de Geografia e Estatistica (IBGE). Tabuas abreviadas de mortalidade por sexo e idade. Brasil, grandes regioes e unidades da federacao: 2010.Rio de Janeiro (RJ); 2013. 121 p."
Age	Male	Female
0.0000E+00	1.0000E+00	1.0000E+00
1.0000E+00	9.8144E-01	9.8462E-01
2.0000E+00	9.7783E-01	9.8154E-01
3.0000E+00	9.7712E-01	9.8091E-01
4.0000E+00	9.7651E-01	9.8039E-01
5.0000E+00	9.7598E-01	9.7995E-01
6.0000E+00	9.7554E-01	9.7959E-01
7.0000E+00	9.7515E-01	9.7928E-01
8.0000E+00	9.7482E-01	9.7902E-01
9.0000E+00	9.7448E-01	9.7876E-01
1.0000E+01	9.7412E-01	9.7850E-01
1.1000E+01	9.7374E-01	9.7822E-01
1.2000E+01	9.7334E-01	9.7795E-01
1.3000E+01	9.7293E-01	9.7766E-01
1.4000E+01	9.7237E-01	9.7734E-01
1.5000E+01	9.7162E-01	9.7699E-01
1.6000E+01	9.7061E-01	9.7658E-01
1.7000E+01	9.6926E-01	9.7613E-01
1.8000E+01	9.6746E-01	9.7562E-01
1.9000E+01	9.6550E-01	9.7510E-01
2.0000E+01	9.6337E-01	9.7455E-01
2.1000E+01	9.6106E-01	9.7397E-01
2.2000E+01	9.5857E-01	9.7338E-01
2.3000E+01	9.5586E-01	9.7276E-01
2.4000E+01	9.5315E-01	9.7211E-01
2.5000E+01	9.5046E-01	9.7143E-01
2.6000E+01	9.4776E-01	9.7073E-01
2.7000E+01	9.4507E-01	9.6999E-01
2.8000E+01	9.4238E-01	9.6922E-01
2.9000E+01	9.3967E-01	9.6840E-01
3.0000E+01	9.3692E-01	9.6754E-01
3.1000E+01	9.3414E-01	9.6662E-01
3.2000E+01	9.3132E-01	9.6564E-01
3.3000E+01	9.2848E-01	9.6461E-01
3.4000E+01	9.2555E-01	9.6351E-01
3.5000E+01	9.2254E-01	9.6234E-01
