Survival Functions Representative for Korea 2012 Population
"Source: Global Health Observatory Data Repository (WHO) - 2012"
Age	Male	Female
0.0000E+00	1.0000E+00	1.0000E+00
1.0000E+00	9.9650E-01	9.9700E-01
2.0000E+00	9.9635E-01	9.9687E-01
3.0000E+00	9.9619E-01	9.9674E-01
4.0000E+00	9.9604E-01	9.9661E-01
5.0000E+00	9.9588E-01	9.9648E-01
6.0000E+00	9.9576E-01	9.9637E-01
7.0000E+00	9.9564E-01	9.9626E-01
8.0000E+00	9.9553E-01	9.9616E-01
9.0000E+00	9.9541E-01	9.9605E-01
1.0000E+01	9.9529E-01	9.9594E-01
1.1000E+01	9.9516E-01	9.9586E-01
1.2000E+01	9.9502E-01	9.9578E-01
1.3000E+01	9.9489E-01	9.9571E-01
1.4000E+01	9.9475E-01	9.9563E-01
1.5000E+01	9.9462E-01	9.9555E-01
1.6000E+01	9.9430E-01	9.9537E-01
1.7000E+01	9.9397E-01	9.9519E-01
1.8000E+01	9.9365E-01	9.9501E-01
1.9000E+01	9.9332E-01	9.9483E-01
2.0000E+01	9.9300E-01	9.9465E-01
2.1000E+01	9.9251E-01	9.9439E-01
2.2000E+01	9.9201E-01	9.9413E-01
2.3000E+01	9.9152E-01	9.9388E-01
2.4000E+01	9.9102E-01	9.9362E-01
2.5000E+01	9.9053E-01	9.9336E-01
2.6000E+01	9.8989E-01	9.9300E-01
2.7000E+01	9.8924E-01	9.9264E-01
2.8000E+01	9.8860E-01	9.9228E-01
2.9000E+01	9.8795E-01	9.9192E-01
3.0000E+01	9.8731E-01	9.9156E-01
3.1000E+01	9.8649E-01	9.9105E-01
3.2000E+01	9.8567E-01	9.9053E-01
3.3000E+01	9.8484E-01	9.9002E-01
3.4000E+01	9.8402E-01	9.8950E-01
3.5000E+01	9.8320E-01	9.8899E-01
3.6000E+01	9.8201E-01	9.8840E-01
3.7000E+01	9.8083E-01	9.8781E-01
3.8000E+01	9.7964E-01	9.8723E-01
3.9000E+01	9.7846E-01	9.8664E-01
4.0000E+01	9.7727E-01	9.8605E-01
4.1000E+01	9.7545E-01	9.8518E-01
4.2000E+01	9.7363E-01	9.8431E-01
4.3000E+01	9.7180E-01	9.8345E-01
4.4000E+01	9.6998E-01	9.8258E-01
4.5000E+01	9.6816E-01	9.8171E-01
4.6000E+01	9.6505E-01	9.8048E-01
